Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle in/external rotation angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Hip flex/extension angle,Hip in/external rotation angle,Hip in/external rotation moment,Knee flex/extension angle,Knee in/external rotation angle,Ipsi/contralateral pelvis rotation,EMG activation for peroneus longus
9.149236531,7.78261,0.0552762,-2.29928,0.385279,-0.138804,-1.71764,1.22903,1.85933,37.0441,0.0448704,-0.160848,28.659,-12.6811,-4.12097,0.97667018
3.911221031,9.25178,0.131789,-3.04504,0.652717,-0.208116,-3.17026,1.07779,1.30953,36.7746,0.225099,-0.102378,30.3247,-12.2311,-4.17932,0.983533404
3.281607987,10.8584,0.20723,-3.77932,0.990837,-0.260264,-5.14416,0.932729,0.37735,36.4945,0.348462,-0.0452257,32.0666,-11.7854,-4.21583,0.989897951
3.451578387,13.9051,-0.815676,6.18289,1.91234,-0.153003,16.0451,0.291391,-4.22014,8.09818,-3.56266,-0.0180849,29.4704,-9.41792,-3.97093,0.898331748
4.530632491,11.342,-0.975577,7.72173,1.55085,-0.130716,13.5355,0.151722,-3.69861,6.6069,-3.65009,0.00899609,28.0648,-9.83798,-3.92171,0.88102717
10.29033589,8.66201,-1.13331,9.2288,1.20337,-0.109999,10.7093,0.0381974,-3.0372,5.18492,-3.79196,0.0283717,26.7606,-10.236,-3.86291,0.862360229
2.157350199,22.0282,1.14132,-11.4777,2.42926,-0.0337611,12.445,-0.0199761,-2.93321,-2.2338,-11.5769,-0.0350259,29.5411,28.8632,-5.07302,0.880571239
2.299894644,20.2332,0.989556,-10.4118,2.28848,-0.0259458,14.342,-0.290324,-3.19933,-4.15004,-11.6692,-0.00921099,27.9947,27.8834,-4.92005,0.868766933
2.533049309,18.0956,0.8347,-9.31649,2.11968,-0.0176389,15.6519,-0.517256,-3.31583,-6.00905,-11.6808,0.0140736,26.4943,26.7721,-4.7725,0.855080557
2.963781292,15.6143,0.677843,-8.19996,1.92679,-0.0123436,16.2504,-0.683144,-3.2858,-7.80106,-11.6444,0.0270236,25.0512,25.5678,-4.63173,0.840432463
3.929220237,12.8046,0.521713,-7.08229,1.70833,-0.00893433,15.9697,-0.746685,-3.18103,-9.52002,-11.5919,0.0304395,23.675,24.3183,-4.498,0.82214432
7.65774799,9.70267,0.370505,-5.9946,1.47179,-0.00412532,14.8216,-0.722955,-3.02783,-11.1628,-11.5526,0.0279083,22.3749,23.0767,-4.37079,0.802191268
3.464626481,25.2985,3.26335,-20.0216,3.59267,0.630194,26.3342,-1.62415,-5.21015,17.8723,23.8973,-0.181577,27.61,-4.82335,-3.98527,0.980968058
3.696663306,22.7086,2.99669,-18.7692,3.31174,0.585227,28.9106,-1.35164,-5.37223,15.1978,23.7933,-0.157334,25.4722,-6.91847,-3.33851,0.977055057
4.105382228,19.6739,2.69421,-17.3254,2.9851,0.533426,30.057,-1.1333,-5.38563,12.5286,23.5671,-0.141355,23.3198,-9.08903,-2.67582,0.969744542
4.937052501,16.2139,2.36145,-15.71,2.61756,0.479,29.5452,-0.935829,-5.28859,9.88772,23.2416,-0.130944,21.1826,-11.2791,-2.01494,0.960606398
7.263463314,12.366,2.00718,-13.9609,2.21907,0.414915,27.331,-0.760146,-5.02372,7.2999,22.8404,-0.123679,19.0925,-13.4227,-1.37365,0.951017204
32.87244857,8.19057,1.64329,-12.1359,1.80673,0.344617,23.6266,-0.591272,-4.54082,4.79074,22.387,-0.109349,17.0835,-15.4482,-0.769108,0.940894952
2.863693679,34.0948,3.64068,-24.72,3.59458,-0.0907136,5.42102,0.575717,-5.27446,17.3202,7.23117,-0.0618047,36.9256,18.2415,-12.7685,0.952988687
2.988959127,32.2217,3.32435,-23.0792,3.51324,-0.0650321,11.6246,0.381653,-5.63733,12.6532,6.8416,-0.0392496,33.6992,16.8844,-11.9364,0.941675804
3.176298837,29.1331,3.02211,-21.4726,3.30716,-0.0383816,18.1249,0.134042,-5.83484,7.69923,6.58389,-0.0145679,30.0816,15.4248,-11.0815,0.927640341
3.526312948,24.6649,2.74835,-19.9855,2.96682,-0.0142792,23.0281,-0.126976,-5.83719,2.56541,6.55949,0.0134149,26.1756,13.9504,-10.2405,0.904019684
4.38373392,18.8089,2.50323,-18.6293,2.49513,0.00197153,24.2287,-0.315785,-5.48997,-2.56687,6.78711,0.0371012,22.215,12.5481,-9.43903,0.874312
8.191566689,11.8701,2.28614,-17.4095,1.89789,0.00733297,20.5217,-0.404202,-4.65974,-7.46246,7.23452,0.0551397,18.534,11.3326,-8.68936,0.838437057
2.43725866,39.2037,6.4144,-42.5713,4.0589,0.0257871,5.04663,1.43609,-4.54825,24.337,50.6215,0.157966,29.6674,-2.95376,-12.9816,0.890908199
2.607041952,37.3123,6.25823,-41.9186,4.11275,0.0272113,10.8161,1.27204,-5.41919,20.4512,49.7752,0.137152,27.5958,-4.71253,-12.1525,0.871453236
2.864214485,33.854,6.00236,-40.8191,4.04847,0.0254212,17.3637,1.02365,-6.11528,16.0959,48.5641,0.101427,24.9954,-7.40439,-10.9026,0.839679021
3.278284256,28.7797,5.66283,-39.3009,3.81721,0.0259002,23.4487,0.724924,-6.59544,11.3483,47.013,0.0518653,21.9598,-10.7684,-9.32256,0.802165041
4.072739145,22.2481,5.26322,-37.4244,3.37727,0.0264048,26.8964,0.397016,-6.73765,6.33546,45.1173,-0.000448954,18.7062,-14.2832,-7.53767,0.760744766
6.419159079,14.7281,4.83206,-35.287,2.71585,0.0285811,25.3908,0.0683713,-6.31694,1.25883,42.9113,-0.0469227,15.5577,-17.3012,-5.68777,0.717527321
3.659763779,25.5827,12.247,-38.4028,3.80955,-0.0649278,22.352,-0.313746,-6.05292,11.9795,40.7529,0.0016248,33.7443,12.5716,-19.5121,0.877645932
